Diseases & Risk Factors,Indicator Name,Cancer Type,Year,Country Name,Region,Gender,Area,Numeric,Lower Confidence Limit,Upper Confidence Limit,Comment
Noncommunicable diseases,Probability of premature mortality from NCDs,,2009,India,South-East Asia Region,Males,,26,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2009,India,South-East Asia Region,Females,,18,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2010,India,South-East Asia Region,Total,,23,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2010,India,South-East Asia Region,Males,,26,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2010,India,South-East Asia Region,Females,,19,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2011,India,South-East Asia Region,Total,,23,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2011,India,South-East Asia Region,Males,,27,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2011,India,South-East Asia Region,Females,,19,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2012,India,South-East Asia Region,Total,,23,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2012,India,South-East Asia Region,Males,,26,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2012,India,South-East Asia Region,Females,,20,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2013,India,South-East Asia Region,Total,,22,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2013,India,South-East Asia Region,Males,,25,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2013,India,South-East Asia Region,Females,,19,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2014,India,South-East Asia Region,Total,,22,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2014,India,South-East Asia Region,Males,,25,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2014,India,South-East Asia Region,Females,,19,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2015,India,South-East Asia Region,Total,,23,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2015,India,South-East Asia Region,Males,,25,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2015,India,South-East Asia Region,Females,,20,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2016,India,South-East Asia Region,Total,,23,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2016,India,South-East Asia Region,Males,,25,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2016,India,South-East Asia Region,Females,,20,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2017,India,South-East Asia Region,Total,,23,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2017,India,South-East Asia Region,Males,,26,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2017,India,South-East Asia Region,Females,,20,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2018,India,South-East Asia Region,Total,,24,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2018,India,South-East Asia Region,Males,,26,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2018,India,South-East Asia Region,Females,,21,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2019,India,South-East Asia Region,Total,,24,no data,no data,"In this geography, some NCD deaths were included in a separate category called “other pandemic-related mortality” in 2020 and 2021 due to incomplete or low-quality vital registration data. Because this may have affected trends between 2019 to 2021, only data through 2019 are displayed here. "
Noncommunicable diseases,Probability of premature mortality from NCDs,,2019,India,South-East Asia Region,Males,,27,no data,no data,"In this geography, some NCD deaths were included in a separate category called “other pandemic-related mortality” in 2020 and 2021 due to incomplete or low-quality vital registration data. Because this may have affected trends between 2019 to 2021, only data through 2019 are displayed here. "
Noncommunicable diseases,Probability of premature mortality from NCDs,,2019,India,South-East Asia Region,Females,,21,no data,no data,"In this geography, some NCD deaths were included in a separate category called “other pandemic-related mortality” in 2020 and 2021 due to incomplete or low-quality vital registration data. Because this may have affected trends between 2019 to 2021, only data through 2019 are displayed here. "
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2000,India,South-East Asia Region,Total,,38.16065216,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2000,India,South-East Asia Region,Males,,39.37314987,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2000,India,South-East Asia Region,Females,,36.8058815,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2001,India,South-East Asia Region,Total,,38.4500885,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2001,India,South-East Asia Region,Males,,39.64182281,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2001,India,South-East Asia Region,Females,,37.10192108,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2002,India,South-East Asia Region,Total,,39.93182373,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2002,India,South-East Asia Region,Males,,41.01181793,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2002,India,South-East Asia Region,Females,,38.71173859,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2003,India,South-East Asia Region,Total,,41.43490601,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2003,India,South-East Asia Region,Males,,42.59802246,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2003,India,South-East Asia Region,Females,,40.10472488,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2004,India,South-East Asia Region,Total,,42.63548279,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2004,India,South-East Asia Region,Males,,43.805233,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2004,India,South-East Asia Region,Females,,41.26750946,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2005,India,South-East Asia Region,Total,,43.93526077,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2005,India,South-East Asia Region,Males,,45.00359726,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2005,India,South-East Asia Region,Females,,42.68978882,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2006,India,South-East Asia Region,Total,,45.40469742,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2006,India,South-East Asia Region,Males,,46.19749451,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2006,India,South-East Asia Region,Females,,44.48381805,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2007,India,South-East Asia Region,Total,,47.61754227,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2007,India,South-East Asia Region,Males,,48.43163681,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2007,India,South-East Asia Region,Females,,46.65768433,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2008,India,South-East Asia Region,Total,,49.272789,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2008,India,South-East Asia Region,Males,,50.06399155,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2008,India,South-East Asia Region,Females,,48.32482147,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2009,India,South-East Asia Region,Total,,50.63199615,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2009,India,South-East Asia Region,Males,,51.4483223,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2009,India,South-East Asia Region,Females,,49.64458847,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2010,India,South-East Asia Region,Total,,52.522789,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2010,India,South-East Asia Region,Males,,53.43686295,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2010,India,South-East Asia Region,Females,,51.39619827,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2011,India,South-East Asia Region,Total,,54.46042633,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2011,India,South-East Asia Region,Males,,55.25376511,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2011,India,South-East Asia Region,Females,,53.47807693,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2012,India,South-East Asia Region,Total,,56.33310699,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2012,India,South-East Asia Region,Males,,56.77565384,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2012,India,South-East Asia Region,Females,,55.798172,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2013,India,South-East Asia Region,Total,,58.37882614,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2013,India,South-East Asia Region,Males,,58.78472519,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2013,India,South-East Asia Region,Females,,57.89068222,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2014,India,South-East Asia Region,Total,,60.6497345,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2014,India,South-East Asia Region,Males,,61.0643692,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2014,India,South-East Asia Region,Females,,60.14651489,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2015,India,South-East Asia Region,Total,,62.13812256,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2015,India,South-East Asia Region,Males,,62.45240021,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2015,India,South-East Asia Region,Females,,61.76270294,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2016,India,South-East Asia Region,Total,,63.57672882,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2016,India,South-East Asia Region,Males,,63.81201935,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2016,India,South-East Asia Region,Females,,63.2995491,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2017,India,South-East Asia Region,Total,,64.82829285,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2017,India,South-East Asia Region,Males,,65.00000763,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2017,India,South-East Asia Region,Females,,64.62762451,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2018,India,South-East Asia Region,Total,,66.34500885,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2018,India,South-East Asia Region,Males,,66.53102875,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2018,India,South-East Asia Region,Females,,66.12503052,no data,no data,
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2019,India,South-East Asia Region,Total,,67.81713104,no data,no data,"In this geography, some NCD deaths were included in a separate category called “other pandemic-related mortality” in 2020 and 2021 due to incomplete or low-quality vital registration data. Because this may have affected trends between 2019 to 2021, only data through 2019 are displayed here. "
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2019,India,South-East Asia Region,Males,,68.12302399,no data,no data,"In this geography, some NCD deaths were included in a separate category called “other pandemic-related mortality” in 2020 and 2021 due to incomplete or low-quality vital registration data. Because this may have affected trends between 2019 to 2021, only data through 2019 are displayed here. "
Noncommunicable diseases,Percentage of total deaths due to NCDs,,2019,India,South-East Asia Region,Females,,67.45067596,no data,no data,"In this geography, some NCD deaths were included in a separate category called “other pandemic-related mortality” in 2020 and 2021 due to incomplete or low-quality vital registration data. Because this may have affected trends between 2019 to 2021, only data through 2019 are displayed here. "
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2000,India,South-East Asia Region,Total,,62.85866165,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2000,India,South-East Asia Region,Males,,65.67118835,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2000,India,South-East Asia Region,Females,,59.49691772,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2001,India,South-East Asia Region,Total,,62.04944229,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2001,India,South-East Asia Region,Males,,64.70669556,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2001,India,South-East Asia Region,Females,,58.83758926,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2002,India,South-East Asia Region,Total,,61.49501038,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2002,India,South-East Asia Region,Males,,64.45940399,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2002,India,South-East Asia Region,Females,,57.94711304,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2003,India,South-East Asia Region,Total,,59.80545807,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2003,India,South-East Asia Region,Males,,62.86783218,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2003,India,South-East Asia Region,Females,,56.08548355,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2004,India,South-East Asia Region,Total,,58.30820847,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2004,India,South-East Asia Region,Males,,61.44343567,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2004,India,South-East Asia Region,Females,,54.41622162,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2005,India,South-East Asia Region,Total,,58.24401093,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2005,India,South-East Asia Region,Males,,61.83353424,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2005,India,South-East Asia Region,Females,,53.83250427,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2006,India,South-East Asia Region,Total,,57.78921509,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2006,India,South-East Asia Region,Males,,62.0401535,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2006,India,South-East Asia Region,Females,,52.66128922,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2007,India,South-East Asia Region,Total,,56.61581421,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2007,India,South-East Asia Region,Males,,60.73589706,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2007,India,South-East Asia Region,Females,,51.57332993,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2008,India,South-East Asia Region,Total,,56.24890137,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2008,India,South-East Asia Region,Males,,60.46416855,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2008,India,South-East Asia Region,Females,,51.01667404,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2009,India,South-East Asia Region,Total,,56.93686295,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2009,India,South-East Asia Region,Males,,61.21848297,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2009,India,South-East Asia Region,Females,,51.56975174,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2010,India,South-East Asia Region,Total,,57.56134796,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2010,India,South-East Asia Region,Males,,61.60880661,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2010,India,South-East Asia Region,Females,,52.37483215,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2011,India,South-East Asia Region,Total,,57.29911423,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2011,India,South-East Asia Region,Males,,61.3585968,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2011,India,South-East Asia Region,Females,,52.10556793,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2012,India,South-East Asia Region,Total,,56.96417999,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2012,India,South-East Asia Region,Males,,61.07863235,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2012,India,South-East Asia Region,Females,,51.90365982,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2013,India,South-East Asia Region,Total,,54.79620361,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2013,India,South-East Asia Region,Males,,58.39741135,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2013,India,South-East Asia Region,Females,,50.39839172,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2014,India,South-East Asia Region,Total,,53.25401688,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2014,India,South-East Asia Region,Males,,56.42103577,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2014,India,South-East Asia Region,Females,,49.35169601,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2015,India,South-East Asia Region,Total,,54.41090775,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2015,India,South-East Asia Region,Males,,57.82022476,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2015,India,South-East Asia Region,Females,,50.29280853,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2016,India,South-East Asia Region,Total,,54.86675644,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2016,India,South-East Asia Region,Males,,58.49721909,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2016,India,South-East Asia Region,Females,,50.55527496,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2017,India,South-East Asia Region,Total,,54.87597656,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2017,India,South-East Asia Region,Males,,58.73765182,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2017,India,South-East Asia Region,Females,,50.33727646,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2018,India,South-East Asia Region,Total,,55.18833923,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2018,India,South-East Asia Region,Males,,58.9932518,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2018,India,South-East Asia Region,Females,,50.66129303,no data,no data,
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2019,India,South-East Asia Region,Total,,54.90042877,no data,no data,"In this geography, some NCD deaths were included in a separate category called “other pandemic-related mortality” in 2020 and 2021 due to incomplete or low-quality vital registration data. Because this may have affected trends between 2019 to 2021, only data through 2019 are displayed here. "
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2019,India,South-East Asia Region,Males,,58.63061905,no data,no data,"In this geography, some NCD deaths were included in a separate category called “other pandemic-related mortality” in 2020 and 2021 due to incomplete or low-quality vital registration data. Because this may have affected trends between 2019 to 2021, only data through 2019 are displayed here. "
Noncommunicable diseases,Percentage of NCD deaths occurring under 70 years,,2019,India,South-East Asia Region,Females,,50.38716125,no data,no data,"In this geography, some NCD deaths were included in a separate category called “other pandemic-related mortality” in 2020 and 2021 due to incomplete or low-quality vital registration data. Because this may have affected trends between 2019 to 2021, only data through 2019 are displayed here. "
Noncommunicable diseases,NCD age-standardized death rate,,2000,India,South-East Asia Region,Total,,530,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2000,India,South-East Asia Region,Males,,599,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2000,India,South-East Asia Region,Females,,467,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2001,India,South-East Asia Region,Total,,522,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2001,India,South-East Asia Region,Males,,595,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2001,India,South-East Asia Region,Females,,456,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2002,India,South-East Asia Region,Total,,524,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2002,India,South-East Asia Region,Males,,594,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2002,India,South-East Asia Region,Females,,461,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2003,India,South-East Asia Region,Total,,533,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2003,India,South-East Asia Region,Males,,609,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2003,India,South-East Asia Region,Females,,464,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2004,India,South-East Asia Region,Total,,534,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2004,India,South-East Asia Region,Males,,614,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2004,India,South-East Asia Region,Females,,459,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2005,India,South-East Asia Region,Total,,530,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2005,India,South-East Asia Region,Males,,606,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2005,India,South-East Asia Region,Females,,460,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2006,India,South-East Asia Region,Total,,537,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2006,India,South-East Asia Region,Males,,606,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2006,India,South-East Asia Region,Females,,471,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2007,India,South-East Asia Region,Total,,555,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2007,India,South-East Asia Region,Males,,631,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2007,India,South-East Asia Region,Females,,484,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2008,India,South-East Asia Region,Total,,561,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2008,India,South-East Asia Region,Males,,641,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2008,India,South-East Asia Region,Females,,486,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2009,India,South-East Asia Region,Total,,549,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2009,India,South-East Asia Region,Males,,631,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2009,India,South-East Asia Region,Females,,473,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2010,India,South-East Asia Region,Total,,551,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2010,India,South-East Asia Region,Males,,640,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2010,India,South-East Asia Region,Females,,468,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2011,India,South-East Asia Region,Total,,558,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2011,India,South-East Asia Region,Males,,647,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2011,India,South-East Asia Region,Females,,475,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2012,India,South-East Asia Region,Total,,563,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2012,India,South-East Asia Region,Males,,641,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2012,India,South-East Asia Region,Females,,490,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2013,India,South-East Asia Region,Total,,582,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2013,India,South-East Asia Region,Males,,666,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2013,India,South-East Asia Region,Females,,506,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2014,India,South-East Asia Region,Total,,599,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2014,India,South-East Asia Region,Males,,694,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2014,India,South-East Asia Region,Females,,515,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2015,India,South-East Asia Region,Total,,588,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2015,India,South-East Asia Region,Males,,674,no data,no data,
Noncommunicable diseases,NCD age-standardized death rate,,2015,India,South-East Asia Region,Females,,512,no data,no data,
